id;title;description;release_year;classification;duration;episode;season;rating;video_url;image_url
1;gosh ah;bark um as;26241;jaggedly prostacyclin;22029;19713;14694;TV_14;retina;than
2;lest sternly sorrowful;eek;27568;mellow meh;1415;31626;15521;NR;shopping;mid archaeology
3;against personalise;brooch bewitched;29635;through likewise;26815;16867;24479;TV_Y7;who unexpectedly yahoo;for
4;reckon yet review;tract hassle;27881;interesting around never;23228;7511;21133;TV_Y;gosh because vice;gosh
5;dissuade unhappy muddy;till;17595;beneath gah;1679;12533;28757;TV_Y;aha soon entry;dollarize
6;valiantly enthuse;sans;16966;creepy frizzy;27550;8607;7981;TV_MA;throughout ringed chief;selfishly pervade
7;modulo midnight;out decoration brr;17251;but bicycle;7985;4637;32118;PG13;identity;pfft lack
8;poorly;char phooey officially;20238;irritating kiddingly mobile;8013;11577;21315;G;phooey;pirate
9;because wherever;instead;28616;what alb fearless;5013;19445;23586;G;sympathetically;handsome throughout
10;after title indeed;below whole gah;13711;vaporise;16182;21939;17631;TV_Y7;until massage yellow;gosh
